MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
103422,2013,Clark No 1 Mine,Alabama,Shelby,Active,Underground,Independent Producer Operator,Mine only,Jesse Creek Mining Llc,"1615 Kent Dairy Road, Alabaster, AL 35117", ,Appalachia Southern,122727,61,140250,11.71771765539155
103467,2013,Helena Surface Mine,Alabama,Shelby,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Jesse Creek Mining,","1615 Kent Diary Rd, Alabaster, AL 35007", ,Appalachia Southern,59664,16,30539,10.996484102418602
101247,2013,No 4 Mine,Alabama,Tuscaloosa,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",UNIT,Appalachia Southern,2622528,643,1551141,14.779649296030673
101401,2013,No 7 Mine,Alabama,Tuscaloosa,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"P.O. Box 133, Brookwood, AL 35444",UNIT,Appalachia Southern,5405412,989,2464719,15.502911231867342
103172,2013,"Searles Mine No. 2, 3, 4, 5, 6",Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453", ,Appalachia Southern,258078,54,119542,12.46101714379398
103179,2013,Fleetwood Mine No 1,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,75937,22,63745,11.237659328133187
103303,2013,Shannon Mine,Alabama,Tuscaloosa,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,"Shannon, Llc","120 N Walston Bridge Rd Bldg 2, Jasper, AL 35504", ,Appalachia Southern,317491,155,164388,12.668204750456422
103323,2013,Deerlick Mine,Alabama,Tuscaloosa,Active,Surface,Independent Producer Operator,Mine only,"Cahaba Resources, Llc","P.O. Box 122, Vance, AL 35490", ,Appalachia Southern,133452,24,46381,11.801497141606843
103436,2013,Swann's Crossing,Alabama,Tuscaloosa,Temporarily closed,Surface,Operating Subsidiary,Mine only,"Tuscaloosa Resources, Inc.","3000 Riverchase Galleria, Suit, Birmingham, AL 35244",UNIT,Appalachia Southern,137511,38,77190,11.831459192888934
100347,2013,Choctaw Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"3000 Riverchase Galleria Ste 1, Birmingham, AL 35244",UNIT,Appalachia Southern,537429,82,215295,13.194551937235648
101362,2013,Manchester Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148", ,Appalachia Southern,219457,41,116914,12.298911592534287
102996,2013,Jap Creek Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy, Jasper, AL 35501", ,Appalachia Southern,375715,61,164093,12.83658615623751
103195,2013,Mccollum/Sparks Branch Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,"Quality Coal, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,71910,10,17411,11.18317061609654
103342,2013,Reese's Branch Mine,Alabama,Walker,Active,Surface,Contractor,Mine only,"Cedar Lake Mining, Inc","2600 Warrior Jasper Road, Warrior, AL 35180", ,Appalachia Southern,263888,56,115123,12.483280049687934
103370,2013,Cresent Valley Mine,Alabama,Walker,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Reed Minerals, Inc","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,2860,1,621,7.958576903813898
103372,2013,Cane Creek Mine,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Cane Creek Llc,"P.O. Box 1253, Cullman, AL 35056", ,Appalachia Southern,66258,13,32401,11.101311491275187
103376,2013,Town Creek,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,Reed Minerals Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,299167,60,176499,12.608757224881968
103389,2013,Carbon Hill Mine,Alabama,Walker,Active,Underground,Independent Producer Operator,Mine only,Prospect Mining And Developmen,"218 Hwy 195, Jasper, AL 35503", ,Appalachia Southern,76241,37,84966,11.241654654716355
103410,2013,Coal Valley Mine,Alabama,Walker,Active,Surface,Operating Subsidiary,Mine only,"Xinergy Of Alabama, Inc.","2600 Warrior Jasper Rd, Warrior, AL 35180", ,Appalachia Southern,407841,59,158591,12.918632671548874
103423,2013,Dutton Hill Mine,Alabama,Walker,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Quality Coal Company, Inc.","17405 Hwy 69 S, Jasper, AL 35501", ,Appalachia Southern,37275,5,9162,10.52607813963294
1519322,2013,Ghm #25,Alabama,Walker,Active,Surface,Independent Producer Operator,Mine only,Green Hill Mining Inc,"3699 Industrial Parkway, Jasper, AL 35501", ,Appalachia Southern,25054,2,3108,10.128788774404137
103321,2013,Poplar Springs,Alabama,Winston,Active,Surface,Independent Producer Operator,Mine only,"Reed Minerals, Inc.","P.O. Box 2420, Jasper, AL 35502", ,Appalachia Southern,189370,41,76366,12.15145805225695
103358,2013,Old Union,Alabama,Winston,Active,Surface,Independent Producer Operator,Mine only,Birmingham Coal & Coke Co Inc,"912 Edenton St, Birmingham, AL 35242", ,Appalachia Southern,284563,60,161805,12.558709949158835
5000030,2013,Usibelli,Alaska,Fairbanks North Star,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Usibelli Coal Mine I,"P.O. Box 1000, Healy, AK 99743",INTE,Western,1631584,125,286079,14.305061880052378
201195,2013,Kayenta Mine,Arizona,Navajo,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Western Coal Company,"P.O. Box 650, Kayenta, AZ 86033",United Mine Workers of America,Western,7602722,405,1015333,15.844016899028068
301569,2013,Penny #1,Arkansas,Sebastian,Temporarily closed,Surface,Independent Producer Operator,Mine only,Comer Mining Company,"P.O. Box 986, Greenwood, AR 72936", ,Interior,3973,2,2790,8.287276755814599
301736,2013,Sebastian Mine,Arkansas,Sebastian,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Sebastian Management Llc,"P.O. Box 339, Hartford, AR 72938", ,Interior,54605,52,116473,10.90788073263183
504591,2013,Bowie No 2 Mine,Colorado,Delta,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Bowie Resources Llc,"P.O. Box 1488, Paonia, CO 81428", ,Uinta Region,3320696,365,760650,15.015684957475797
503672,2013,West Elk Mine,Colorado,Gunnison,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Mountain Coal Company, L.L.C.","P.O. Box 591, Somerset, CO 81434", ,Uinta Region,5826798,357,747608,15.577978179315297
504674,2013,Elk Creek Mine,Colorado,Gunnison,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,"Oxbow Mining, Llc","P.O. Box 535, Somerset, CO 81434", ,Uinta Region,436381,262,411836,12.986270993954749
504864,2013,King Ii,Colorado,La Plata,Active,Underground,Operating Subsidiary,Mine only,Gcc Energy Llc,"6473 County Road 120, Hesperus, CO 81326", ,Western,734993,104,240773,13.507616254340098
502838,2013,Trapper Mine,Colorado,Moffat,Active,Surface,Independent Producer Operator,Mine only,Trapper Mining Inc,"P.O. Box 187, Craig, CO 81626",International Union of Operation Engineers,Uinta Region,1944633,183,349809,14.480583828284669
502962,2013,Colowyo Mine,Colorado,Moffat,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Colowyo Coal Company L P,"5731 State Highway 13, Meeker, CO 81641", ,Uinta Region,2309118,243,485411,14.652376191405036
500299,2013,New Horizon Mine,Colorado,Montrose,Active,Surface,Operating Subsidiary,Mine only,"Western Fuels-Colorado, Llc","P.O. Box 628, Nucla, CO 81424",UNIT,Western,216486,27,51133,12.28528115920678
503505,2013,Deserado Mine,Colorado,Rio Blanco,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Blue Mountain Energy Inc,"3607 County Road #65, Rangely, CO 81648",UNIT,Uinta Region,1861494,164,324818,14.436889949082623
4801645,2013,Addcar System 18 Hwm Serial No,Colorado,Rio Blanco,Active,Surface,Independent Producer Operator,Mine only,Ugm Addcar Systems Llc,"No. 1 Hwm Drive, Ashland, KY 41102", ,Uinta Region,350060,17,35687,12.765859847344826
503836,2013,Foidel Creek Mine,Colorado,Routt,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Peabody Twentymile Mining Llc,"29515 Routt Cnty Rd#27, Oak Creek, CO 80467", ,Uinta Region,7235627,435,970682,15.794527576352214
1103189,2013,Mc#1 Mine,Illinois,Franklin,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,M-Class Mining Llc,"11351 N. Thompsonville Rd., Macedonia, IL 62860", ,Illinois Basin,6493536,244,586485,15.686317778522458
1103017,2013,Wildcat Hills Mine - Cottage G,Illinois,Gallatin,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2016232,190,454881,14.516740980917353
1103203,2013,White Oak Mine No. 1,Illinois,Hamilton,Active,Underground,Independent Producer Operator,Mine only,White Oak Resources Llc,"P.O. Box 339, Mcleansboro, IL 62859", ,Illinois Basin,185566,104,218915,12.13116589289779
1103020,2013,Creek Paum Mine,Illinois,Jackson,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Knight Hawk Coal Llc,"500 Cuttler-Trico Road, Percy, IL 62272", ,Illinois Basin,35522,8,16327,10.477907501827271
1100726,2013,Shay #1 Mine,Illinois,Macoupin,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Maryan Mining Llc,"14300 Brushy Mound Rd, Carlinville, IL 62626", ,Illinois Basin,739514,59,128506,13.513748492664405
1102632,2013,Crown Iii Mine,Illinois,Macoupin,"Active, men working, not producing",Underground,Contractor,Mine and Preparation Plant,Springfield Coal Company Llc,"3008 Happy Landing Drive, Springfield, IL 62711",United Mine Workers of America,Illinois Basin,930272,192,417291,13.743232295485793
1103182,2013,Deer Run Mine,Illinois,Montgomery,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Patton Mining Llc,"211 N Broadway,ste 2600, St. Louis, MO 63102", ,Illinois Basin,4845308,162,368011,15.393521371977908
1103045,2013,Red Hawk,Illinois,Perry,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,539118,38,86679,13.197689749863997
1103143,2013,Prairie Eagle,Illinois,Perry,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,158575,20,52614,11.973982946502097
1103147,2013,Prairie Eagle-Underground,Illinois,Perry,Active,Underground,Independent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Rd, Percy, IL 62272", ,Illinois Basin,2274984,169,376225,14.637483577375423
1103205,2013,Prairie Eagle South Undergroun,Illinois,Perry,Permanently abandoned,Underground,Independent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,491476,45,65811,13.105168387265227
1103241,2013,Jordan,Illinois,Perry,Active,Surface,Independent Producer Operator,Mine only,"Elk Land Holdings, Llc","2206 Samuel Stuart Ct., Chesterfield, MO 63005", ,Illinois Basin,23557,4,7372,10.067178295192607
1102408,2013,Gateway Mine,Illinois,Randolph,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd., Suite, Evansville, IN 47715", ,Illinois Basin,2834382,214,436005,14.857334481962853
1103226,2013,Hawkeye Mine,Illinois,Randolph,Active,Surface,Independent Producer Operator,Mine only,"Knight Hawk Coal, Llc","500 Cutler-Trico Road, Percy, IL 62272", ,Illinois Basin,340077,21,48306,12.736927341539987
1103248,2013,Black Hawk,Illinois,Randolph,Active,Surface,Independent Producer Operator,Mine only,Knight Hawk Coal Llc,"500 Cutler/Trico Road, Percy, IL 62272", ,Illinois Basin,640865,27,56975,13.370574105297402
1102752,2013,The American Coal Company New,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946", ,Illinois Basin,4419659,606,1442872,15.301573101756452
1103156,2013,Wildcat Hills Mine-Underground,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","7100 Eagle Crst Blvd, #100, Evansville, IN 47715", ,Illinois Basin,1579031,233,551324,14.272321925723972
1103212,2013,Eagle River Coal Llc Mine No 1,Illinois,Saline,Active,Surface,Independent Producer Operator,Mine only,Eagle River Coal Llc,"29 W. Raymond St, Harrisburg, IL 62946", ,Illinois Basin,694608,50,121765,13.451102936645883
1103232,2013,New Future Mine,Illinois,Saline,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,The American Coal Company,"P.O. Box 727, Harrisburg, IL 62946", ,Illinois Basin,5450222,354,839778,15.511166899754777
1102664,2013,Viper Mine,Illinois,Sangamon,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"Icg Illinois, Llc","5945 Lester Road, Williamsville, IL 62693", ,Illinois Basin,2281446,311,617035,14.640320010430434
1103064,2013,Friendsville Mine,Illinois,Wabash,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Friendsville Mine Llc,"528 Main St. Ste 202, Evansville, IN 47708", ,Illinois Basin,1252092,80,194217,14.040326310370595
1103193,2013,Lively Grove Mine,Illinois,Washington,Active,Underground,Independent Producer Operator,Mine only,Prairie State Generating Compa,"4274 County Hwy 12, Marissa, IL 62257", ,Illinois Basin,4629720,374,808421,15.348006949071733
1103058,2013,Pattiki,Illinois,White,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,"White County Coal, Llc","P.O. Box 457, Carmi, IL 62821", ,Illinois Basin,2596801,322,805720,14.76979086083173
1103141,2013,Mach #1 Mine,Illinois,Williamson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Mach Mining Llc,"P.O. Box 300, Johnston City, IL 62951", ,Illinois Basin,6694630,177,448008,15.716816270457011
1202460,2013,Ace In The Hole,Indiana,Clay,Active,Surface,Independent Producer Operator,Mine only,"Sunrise Coal, Llc","1183 E Canvasback Dr, Terre Haute, IN 47802", ,Illinois Basin,119886,9,23331,11.694296570228188
1201946,2013,Viking Mine - Corning Pit,Indiana,Daviess,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","P.O. Box 28, Montgomery, IN 47558", ,Illinois Basin,1114914,109,253534,13.924287829856839
1202372,2013,Antioch Mine,Indiana,Daviess,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","P.O. Box 7, Petersburg, IN 47567", ,Illinois Basin,991309,83,205212,13.806781570966963
1202374,2013,Shamrock Mine,Indiana,Dubois,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,"Solar Sources, Inc.","625 N. Ninth St., Petersburg, IN 47567", ,Illinois Basin,1159798,105,258962,13.963756409987743
1202207,2013,Somerville,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,United Minerals Co Llc,"P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,587931,34,102642,13.284364873056298
1202215,2013,Gibson Mine,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Gibson County Coal Llc,"P.O. Box 1269, Princeton, IN 47670", ,Illinois Basin,3938521,357,928889,15.18631583009048
1202258,2013,Somerville Central Mine,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,"Peabody Midwest Mining, Llc","7100 Eagle Crest Blvd  Ste 100, Evansville, IN 47715", ,Illinois Basin,2607983,175,425477,14.774087683602527
1202295,2013,Francisco Underground Pit,Indiana,Gibson,Active,Underground,Operating Subsidiary,Mine only,"Peabody Midwest Mining, Llc","P.O. Box 347, Francisco, IN 47649", ,Illinois Basin,2914792,287,646505,14.885309020160802
1202325,2013,Hurricane Creek,Indiana,Gibson,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E St Rd 58, Edwardsport, IN 47528", ,Illinois Basin,234638,18,45764,12.365799179919131
1202167,2013,Freelandville Mine,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,130715,23,54455,11.780774659668289
1202316,2013,Freelandville Underground,Indiana,Knox,Permanently abandoned,Underground,Independent Producer Operator,Mine only,"Triad Underground Mining, L.L.","14972 East S.R. 58, Edwardsport, IN 47528", ,Illinois Basin,16273,15,7359,9.697262571660614
1202339,2013,Freelandville East,Indiana,Knox,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc,"14521 E State Road 58, Edwardsport, IN 47528", ,Illinois Basin,414810,25,53907,12.935575863050774
1202394,2013,Oaktown Fuels Mine No 1,Indiana,Knox,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561", ,Illinois Basin,3376144,290,741289,15.032244787816763
1202418,2013,Oaktown Fuels Mine No 2,Indiana,Knox,Active,Underground,Independent Producer Operator,Mine only,Black Panther Mining Llc,"12661 N. Agricare Road, Oaktown, IN 47561", ,Illinois Basin,1038597,71,175722,13.853381321884429
1202423,2013,Freelandville West Underground,Indiana,Knox,Active,Underground,Independent Producer Operator,Mine only,Triad Underground Mining L.L.C,"13333 E Hartsburg Rd, Edwardsport, IN 47528", ,Illinois Basin,598937,107,239158,13.302911696274125
1202249,2013,Prosperity Mine,Indiana,Pike,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Five Star Mining Inc,"6594 W State Rd 56, Petersburg, IN 47567", ,Illinois Basin,1795632,375,1006312,14.400867607072172
1202410,2013,Log Creek Surface,Indiana,Pike,Active,Surface,Operating Subsidiary,Mine only,Triad Mining Inc.,"14521 E. State Road 58, Edwardsport, IN 47528", ,Illinois Basin,940789,65,179183,13.754474163881275
1202433,2013,Hilsmeyer #2,Indiana,Pike,Active,Surface,Independent Producer Operator,Mine only,Loudermilk Contracting Inc.,"101 W. Main St., Jasonville, IN 47438", ,Illinois Basin,139790,17,29414,11.847896575465175
1202446,2013,Cardinal Mine,Indiana,Pike,Active,Surface,Independent Producer Operator,Mine only,"United Minerals Co, Llc","P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,888785,30,87319,13.697610640477476
1202349,2013,Carlisle Mine,Indiana,Sullivan,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Sunrise Coal Llc,"1183 E Canvasback Dr, Terre Haute, IN 47802", ,Illinois Basin,3136361,316,767024,14.958573768623154
1202422,2013,Bear Run Mine,Indiana,Sullivan,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Peabody Bear Run Mining Llc,"7255 East County Road 600s, Carlisle, IN 47838", ,Illinois Basin,8305079,598,1416810,15.932377813326253
1202431,2013,Landree Mine,Indiana,Sullivan,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,South Central Coal Indiana Llc,"15127 W. 700 N, Jasonville, IN 47438", ,Illinois Basin,21674,57,98032,9.98386866448294
1202226,2013,Collie Pond Co,Indiana,Vigo,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Collie Coal Co Inc,"10026 N Knightsville Clay, Brazil, IN 47834", ,Illinois Basin,21904,7,8803,9.99442454752823
1202407,2013,West 61,Indiana,Warrick,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,United Minerals Co Llc,"P.O. Box 400, Huntingburg, IN 47542", ,Illinois Basin,1524285,92,277125,14.237036005618952
1202428,2013,Liberty Mine,Indiana,Warrick,Active,Surface,Independent Producer Operator,Mine and Preparation Plant,Vigo Coal Operating Company In,"528 Main St. Ste 202, Evansville, IN 47708", ,Illinois Basin,586627,60,143497,13.282144462423956
1202441,2013,Wild Boar Mine,Indiana,Warrick,Active,Surface,Operating Subsidiary,Mine only,"Peabody Wild Boar Mining, Llc","566 Dickeyville Rd., Lynnville, IN 47619", ,Illinois Basin,2025849,109,273434,14.52149942991743
1202445,2013,Addcar System 40 Hwm Ser # Lv2,Indiana,Warrick,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Ugm Addcar Systems Llc,"No. 1 Hwm Drive, Ashland, KY 40112", ,Illinois Basin,469811,18,38685,13.060085765151657
1401626,2013,Garland Mine,Kansas,Bourbon,Active,Surface,Independent Producer Operator,Mine only,Phoenix Mining Company,"310 S. Scraper, Vinita, OK 74301", ,Interior,22150,7,14003,10.005592775473282
1516516,2013,#2 Surface,Kentucky (East),Bell,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Twin Star Coal Company Inc,"P.O. Box 81, Cranks, KY 40820", ,Appalachia Central,66171,12,28110,11.099997579480698
1517792,2013,#2,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,Kincaid Enterprises Inc,"700 N 19th Street, Middlesboro, KY 40977", ,Appalachia Central,29791,8,19815,10.301961613455438
1518257,2013,#1 Strip Mine,Kentucky (East),Bell,Active,Surface,Independent Producer Operator,Mine only,Jamieson Construction Company,"30 Jamieson Lane, London, KY 40744", ,Appalachia Central,65920,18,43533,11.096197164583353
1519076,2013,Chestnut Flats,Kentucky (East),Bell,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Nally & Hamilton Enterprises,","P.O. Box 157, Bardstown, KY 40004", ,Appalachia Central,62286,24,37052,11.0394919604213
1519318,2013,Garmeda #2,Kentucky (East),Bell,Active,Underground,Operating Subsidiary,Mine only,Bell County Coal Corporation,"6340 West Cumberland Ave, Middlesboro, KY 40965", ,Appalachia Central,300215,72,134463,12.61225416362208
1519408,2013,Hance Mine No. 1,Kentucky (East),Bell,Active,Underground,Contractor,Mine only,"Tennco Energy, Inc.","P.O. Box 517, Middlesboro, KY 40965", ,Appalachia Central,224482,22,53231,12.321550804776285
1519431,2013,Mine #8,Kentucky (East),Bell,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Clear Development Llc,"P.O. Box 1385, Lafollette, TN 37766", ,Appalachia Central,32567,16,15070,10.391054784724917
1519432,2013,Four Mile,Kentucky (East),Bell,Temporarily closed,Surface,Independent Producer Operator,Mine only,Nally & Hamilton Enterprises I,"P.O. Box 249, Calvin, KY 40813", ,Appalachia Central,111,5,263,4.709530201312334
1519539,2013,Kellioka 1,Kentucky (East),Bell,Permanently abandoned,Underground,Independent Producer Operator,Mine only,"Nally & Hamilton Enterprise, I","P.O. Box 349, Calvin, KY 40004", ,Appalachia Central,25009,27,21177,10.126991039065885
1519574,2013,Coal Stone #10,Kentucky (East),Bell,Active,Underground,Contractor,Mine only,"Parton Bros. Contracting, Inc.","P.O. Box 159, Middlesboro, KY 40965", ,Appalachia Central,194529,29,63671,12.17833653118337
1519601,2013,Sterling-107,Kentucky (East),Bell,Permanently abandoned,Surface,Independent Producer Operator,Mine only,C & L Highwall Mining Partners,"1403 Cumerland Ave, Ste. D, Middlesboro, KY 40965", ,Appalachia Central,14285,13,6158,9.566965314664873
1519608,2013,No 2,Kentucky (East),Bell,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Tackett Creek Mining Inc,"111 Mill Creek Rd, Pathfork, KY 40863", ,Appalachia Central,50539,10,24442,10.83050059443856
1519700,2013,Ky No. 9,Kentucky (East),Bell,"Active, men working, not producing",Surface,Independent Producer Operator,Mine and Preparation Plant,"Straight Creek Coal Mining, In","10405 Hwy 221, Stoney Fork, KY 40988", ,Appalachia Central,16256,9,10026,9.696217350378209
